lb_nom_key,cd_nom_key,lb_cd_nom_key,regne_key,groupe,group1_inpn,code_espece_key,version_taxref,sortby
"Acroscyphus <b><span style=""color:#02138e"">(nom valide)</span></b>",864106,Acroscyphus!864106,Fungi,Autres,Ascomycètes,acr,15,25
"Acrospeira <b><span style=""color:#02138e"">(nom valide)</span></b>",864107,Acrospeira!864107,Fungi,Autres,Ascomycètes,acr,15,26
"Acrospermum <b><span style=""color:#02138e"">(nom valide)</span></b>",188781,Acrospermum!188781,Fungi,Autres,Ascomycètes,acr,15,27
"Acrospira <b><span style=""color:#02138e"">(nom valide)</span></b>",864108,Acrospira!864108,Fungi,Autres,Ascomycètes,acr,15,28
"Acrostalagmus <b><span style=""color:#02138e"">(nom valide)</span></b>",864906,Acrostalagmus!864906,Fungi,Autres,Ascomycètes,acr,15,29
"Acrotheca <b><span style=""color:#02138e"">(nom valide)</span></b>",858816,Acrotheca!858816,Fungi,Autres,Ascomycètes,acr,15,30
"Acrothecium <b><span style=""color:#02138e"">(nom valide)</span></b>",859093,Acrothecium!859093,Fungi,Autres,Ascomycètes,acr,15,31
"Actidium <b><span style=""color:#02138e"">(nom valide)</span></b>",188794,Actidium!188794,Fungi,Autres,Ascomycètes,act,15,32
"Actinocladium <b><span style=""color:#02138e"">(nom valide)</span></b>",864405,Actinocladium!864405,Fungi,Autres,Ascomycètes,act,15,33
"Actinodendron <b><span style=""color:#02138e"">(nom valide)</span></b>",188800,Actinodendron!188800,Fungi,Autres,Ascomycètes,act,15,34
"Actinonema <b><span style=""color:#02138e"">(nom valide)</span></b>",858779,Actinonema!858779,Fungi,Autres,Ascomycètes,act,15,35
"Actinopeltis <b><span style=""color:#02138e"">(nom valide)</span></b>",188801,Actinopeltis!188801,Fungi,Autres,Ascomycètes,act,15,36
"Actinosporella <b><span style=""color:#02138e"">(nom valide)</span></b>",857687,Actinosporella!857687,Fungi,Autres,Ascomycètes,act,15,37
"Actinothecium <b><span style=""color:#02138e"">(nom valide)</span></b>",862335,Actinothecium!862335,Fungi,Autres,Ascomycètes,act,15,38
"Actinothyrium <b><span style=""color:#02138e"">(nom valide)</span></b>",862337,Actinothyrium!862337,Fungi,Autres,Ascomycètes,act,15,39
