lb_nom_key,cd_nom_key,lb_cd_nom_key,regne_key,groupe,group1_inpn,code_espece_key,version_taxref,sortby
"Aegopinella <b><span style=""color:#02138e"">(nom valide)</span></b>",188840,Aegopinella!188840,Animalia,Gastéropodes,Mollusques,aeg,15,270
"Aegosoma <b><span style=""color:#02138e"">(nom valide)</span></b>",203687,Aegosoma!203687,Animalia,Insectes,Arthropodes,aeg,15,271
"Aegypius <b><span style=""color:#02138e"">(nom valide)</span></b>",188842,Aegypius!188842,Animalia,Oiseaux,Chordés,aeg,15,272
"Aeletes <b><span style=""color:#02138e"">(nom valide)</span></b>",204906,Aeletes!204906,Animalia,Insectes,Arthropodes,ael,15,273
"Aelia <b><span style=""color:#02138e"">(nom valide)</span></b>",188843,Aelia!188843,Animalia,Insectes,Arthropodes,ael,15,274
"Aellopus <b><span style=""color:#02138e"">(nom valide)</span></b>",207451,Aellopus!207451,Animalia,Insectes,Arthropodes,ael,15,275
"Aelurillus <b><span style=""color:#02138e"">(nom valide)</span></b>",188844,Aelurillus!188844,Animalia,Arachnides,Arthropodes,ael,15,276
"Aenigmatias <b><span style=""color:#02138e"">(nom valide)</span></b>",205826,Aenigmatias!205826,Animalia,Insectes,Arthropodes,aen,15,277
"Aeolidia <b><span style=""color:#02138e"">(nom valide)</span></b>",188848,Aeolidia!188848,Animalia,Gastéropodes,Mollusques,aeo,15,278
"Aeolidiella <b><span style=""color:#02138e"">(nom valide)</span></b>",188849,Aeolidiella!188849,Animalia,Gastéropodes,Mollusques,aeo,15,279
"Aeoloderma <b><span style=""color:#02138e"">(nom valide)</span></b>",204719,Aeoloderma!204719,Animalia,Insectes,Arthropodes,aeo,15,280
"Aeolothrips <b><span style=""color:#02138e"">(nom valide)</span></b>",212170,Aeolothrips!212170,Animalia,Insectes,Arthropodes,aeo,15,281
"Aeolus <b><span style=""color:#02138e"">(nom valide)</span></b>",204723,Aeolus!204723,Animalia,Insectes,Arthropodes,aeo,15,282
"Aepophilus <b><span style=""color:#02138e"">(nom valide)</span></b>",207317,Aepophilus!207317,Animalia,Insectes,Arthropodes,aep,15,283
"Aepus <b><span style=""color:#02138e"">(nom valide)</span></b>",203417,Aepus!203417,Animalia,Insectes,Arthropodes,aep,15,284
"Aequipecten <b><span style=""color:#02138e"">(nom valide)</span></b>",188852,Aequipecten!188852,Animalia,Bivalves,Mollusques,aeq,15,285
"Aequsomatus <b><span style=""color:#02138e"">(nom valide)</span></b>",201832,Aequsomatus!201832,Animalia,Arachnides,Arthropodes,aeq,15,286
